Round, Loss, Accuracy, F1, Computation Time, Communication Time Upstream, Total Time
1, 0.8209440635250127, 0.7396883672500152, 0.6992471545854219, 15.612682580947876, 0.019153833389282227, 15.631836414337158
2, 0.3350549422272165, 0.8920089919044022, 0.8972337522924286, 22.318164110183716, 0.018481969833374023, 22.33664608001709
3, 0.2759725400747612, 0.9124239699739822, 0.9178524034137827, 20.729358434677124, 0.00853586196899414, 20.737894296646118
4, 0.21915630230619731, 0.9295892037160098, 0.9351684696556035, 20.8453848361969, 0.008522510528564453, 20.853907346725464
5, 0.16977889057872456, 0.943921326408882, 0.9489015362674846, 20.90515422821045, 0.008203983306884766, 20.913358211517334
6, 0.17083384028455334, 0.9451712322239081, 0.9501057255934867, 20.79105043411255, 0.009537935256958008, 20.800588369369507
7, 0.1245479457519291, 0.9603366241058939, 0.9626112352107385, 20.728109121322632, 0.009527921676635742, 20.737637042999268
8, 0.11728667858024208, 0.9628364294928795, 0.9654713742696667, 20.67994260787964, 0.008269548416137695, 20.688212156295776
9, 0.1054688353510849, 0.9672527233368853, 0.9689349613403752, 20.837299346923828, 0.009155750274658203, 20.846455097198486
10, 0.10788055728668074, 0.9640030037183661, 0.9671259479330558, 20.848271131515503, 0.00643467903137207, 20.854705810546875
